ids,smiles,inchikey_wo_last
CNP0424456.1,NC(=O)[C@@H]1C[C@H](O)CCN1,GPAZDGSPDSORHT-UHNVWZDZSA-
CNP0274636.8,CC(C)C(C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@]12C,DNVPQKQSNYMLRS-QRFHLYGJSA-
LTS0193456,C=C(C)C1COc2cc3c(ccc(=O)o3)c(OC)c2O1,JSGLMDMQVBFNPA-UHFFFAOYSA-
CNP0497893.1,NC(N)=NCCCCNC(=O)/C=C/c1ccc2O[C@@H](c3ccc(O)cc3)[C@H](C(=O)NCCCCN=C(N)N)c2c1,KVYNYRIOAYQBFK-ODMAYWLASA-
CNP0161817.2,C/C=C/[C@H]1O[C@@](O)([C@@H](C)[C@H](O)[C@H](C)[C@H]2OC(=O)/C(OC)=C/C(C)=C/[C@@H](C)[C@@H](O)[C@@H](CC)[C@@H](O)[C@H](C)C/C(C)=C/C=C/[C@@H]2OC)C[C@@H](OC2CC(O)C(OC(N)=O)C(C)O2)[C@@H]1C,DJZCTUVALDDONK-XQMOIOHUSA-
CNP0525074.1,C=C1O[C@H](C)C(O)c2c(O)ccc(O)c12,FURSVYPFXMAJGD-TZRNXQDGSA-
CNP0459700.1,CCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCCCCCCCCCCCCCCCCCC,OCCHNTXZVKCXFK-ZOMJBIPJSA-
LTS0189865,C=C1C(=O)O[C@@H]2/C=C(\C)CC/C=C(\CO)[C@@H](O)[C@@H](OC(=O)C(C)C)[C@@H]12,WCFCRMUJJLMZMM-QPJGEGKNSA-
CNP0271384.2,CC(=O)O[C@H]1C[C@@H](O)CC[C@]23C#C[C@H]4C[C@H](C#CC[C@@H]5[C@H]6C[C@H](C[N@](CNC(=N)NC2)C6)C[N@@]5C[C@@H]3O)C[C@H]2C[C@H](CCN2)Oc2cc(ccc2O)C[C@H]14,CAQBEOWNJMXAPX-KNZOYQOKSA-
CNP0525068.2,Cc1cc(OC(=O)[C@@H](Cc2ccccc2)NC(=O)OCc2ccccc2)c2c(C)cc(=O)oc2c1,XOCAQNZNINLVPJ-JOCHJYFZSA-
CNP0104999.0,C=C(C)CCCc1c(C)ccc2c1C(=O)C=C(C(C)C)C2=O,QZHCFWZNJMMIQX-UHFFFAOYSA-
CNP0296829.1,C[C@@H]1OC(=O)/C=C\[C@H](O)[C@H](C)OC(=O)/C=C\[C@@H]1O,LYHFOAGYEICQQA-FLMOZQRKSA-
CNP0422143.1,C=C1C=C(C(=O)OCC)Oc2cc3c(c(OC)c12)[C@H]1CCC[C@@](C)(O)[C@H]1O3,AYNGSAXKNKEGEG-ZPDQPEGFSA-
CNP0239555.0,COC(=O)c1c(O)cc2C(=O)c3c(C(=O)c2c1C)c(O)c(C1(OC(=O)C(C)C)c2cccc(O)c2C(=O)c2c1cc(O)c(C(=O)OC)c2C)cc3,OWDCXJMCKGCGEQ-UHFFFAOYSA-
CNP0483003.2,CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCCCC(C)C)COC(=O)CCCCCCCCCCCCCCCCC(C)CC,RQIDYDKZNAWBJS-SCAWFODCSA-
CNP0181648.2,C[C@@H]1CC[C@@H]2C(C(=O)O[C@@H]3OC(CO)[C@@H](O)C(O)[C@@H]3O)=CO[C@@H](O[C@@H]3OC(CO)[C@@H](O)C(O)[C@@H]3O)[C@H]12,CUSICZFUZAPHLA-FDQRUZRHSA-
LTS0048801,CC1CCC2(C)C=CC(O)CC2C1(C)CCC1=CC(=O)OC1,FRLNOAAKSKQULA-UHFFFAOYSA-
LTS0244117,CC(C)=CCc1cc(C2CC(=O)c3c(O)cc(O)cc3O2)ccc1O,CGKWSLSAYABZTL-UHFFFAOYSA-
CNP0239060.3,C=C[C@@]1(C)C[C@@H](OC(=O)c2ccccc2)C2[C@]3(CO)C(C[C@@H](O)[C@@]2(O)C1=O)C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H]3OC(=O)c1ccccc1,XYELSYGEQPFQMP-OAPAROCCSA-
CNP0188647.1,C=CC(=C)CC[C@]1(C)[C@H](C)[C@@H](O)[C@H](O)[C@@]23C(=C[C@H](OC(=O)CCC)C[C@@H]12)[C@@H](OC(C)=O)O[C@H]3OC(C)=O,FACSSBRLFWVHQA-OISZFCHFSA-
LTS0231595,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(OC3OC(C)C(O)C(OC4OC(CO)C(O)C(O)C4O)C3O)C(O)C2O)C(O)C(O)C1O,CBSLALAKOKYDBZ-UHFFFAOYSA-
CNP0237894.3,C=C1C(=O)O[C@@H]2C[C@](C)(O)C3=CC[C@](C)(O)[C@@H]3C[C@H]12,SKXYOUKPVUIPFP-SLTBLMCHSA-
CNP0257087.1,COc1cc(/C=C/C(=O)O[C@@H](CC(=O)O)C(=O)O)ccc1O,NZLXTWAEDURRNL-TZNOJPMFSA-
CNP0261122.0,O=c1c2ccccc2oc2c(O)c3c(cc12)OCO3,JSVGXAFVTWWBRD-UHFFFAOYSA-
CNP0488306.2,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCCCCCC)COC(=O)CCCCCCCCC(C)C,ARPACZCGWBJCHA-DYVQZXGMSA-
CNP0161687.2,CC[C@H](C[C@@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@@H](OC)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,GDNMTUAJVKFDCM-FWKALQMESA-
CNP0433757.1,CCCCCCCCCC[C@H](C)C(=O)N1CCC[C@H]1C(=O)O,RRUDWPGBCCVASI-HOTGVXAUSA-
CNP0072749.1,CC(=O)[C@H](O)c1cc(O)cc(O)c1,DZZMWMRUQKXALR-VIFPVBQESA-
CNP0000177.0,CCCCCc1cc(O)c(C2CCC(=O)N2C(C)C)c(O)c1,RZQPHYXUUPFQID-UHFFFAOYSA-
CNP0329758.3,CC(=O)O[C@@]12C[C@@H](C)C3(O)C4C=C(C)C(=O)[C@@]4(O)CC(CO)=C[C@H]3[C@@H]1C2(C)C,BOJKFRKNLSCGHY-OYHJNGIOSA-
CNP0261187.2,CO[C@]12C[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CN=C1[C@](C)(O)[C@H]1[C@H](C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)CC[C@]5(C)[C@H]4CC[C@@]31C)O2,NSMPUPXEAVIWMS-OZYZQTJCSA-
CNP0125690.0,CNc1ccccc1C(=O)OC1CCC2(C)C(CC(O)C3(C)C4=CCC(C5CC(C(O)C(C)(C)O)OC5OC)C4(C)CCC23)C1(C)C,NQORFEPFWLMLTQ-UHFFFAOYSA-
CNP0418099.4,CC(=O)O[C@H]1C[C@@]2(C)[C@@]3(C)CC(=O)C(C)=C[C@H]3O[C@@H]1[C@@]21CO1,LZIKLPMPLBZXHW-FQMQPWHVSA-
CNP0224018.1,C[C@]12[C@H]3C[C@H]4O[C@@H]5[C@H](C[C@]41O)[C@@](C)(O)CC[C@@]52COC(=O)/C=C1\CCOC2(CC/C=C\C(=O)O3)[C@H](O)C(=O)O[C@H]12,SEKPJWXEBCJPDB-RYVAHBGQSA-
CNP0221984.1,C[C@@H](C[C@@H]1NC(=O)C(C)(C)[C@@H]1O)C(Cl)(Cl)Cl,WXVMITZTZFBSBV-LYFYHCNISA-
CNP0118059.0,COC(=O)C(CO)Oc1c(OC)cc(C2Oc3c(OC)cc(CCCO)cc3C2CO)cc1OC,KFEYDSUIHPZIKP-UHFFFAOYSA-
CNP0143543.1,C[C@H]1O[C@]2(C[C@H]3N4C(=O)[C@@H](CO)N(C)C(=O)C4=C[C@@]3(O)[C@@H]2O)C(=O)C1(C)C,NEEWDQXYMAKGIR-KMSXASFBSA-
CNP0326384.2,C[C@]12CCCc3coc(c31)C(=O)c1cc3c(cc12)[C@H](O)CCC3=O,PWKVGKRTNJJKTQ-OXQOHEQNSA-
CNP0073199.1,C[C@H]1C[C@](C)(O)C(=O)[C@@H]2[C@@H](O)[C@H]3[C@H](O)[C@@]4(C)O[C@@]25/C(=C\1O)C(=O)O[C@@]35C[C@@H]4CO,TYUSHSMNEUZGNO-BOACEFTASA-
CNP0008677.1,CNC(=N)NC[C@H](CNC[C@]1(O)[C@H](Oc2ccc3c(=O)c(-c4ccc(O)cc4)coc3c2)O[C@H](C(=O)O)[C@@H](O)[C@@H]1O)[C@H](C)C/C=C/c1ccccc1,JJYKGWMZZTUPCT-RCJIJADCSA-
LTS0223749,C=C1C(=O)OC2CC(C)=CCCC(C)=CCCC(CO)=CCC12,KXVIJXIRUBWYDB-UHFFFAOYSA-
LTS0110723,C=C(C)C(O)C1CC(C2CCC34CC23CCC2C3(C)CCC(OC(=O)C=C(C)C)C(C)(C)C3CC(O)C24C)C(OC)O1,VPWHAUFGDJELAT-UHFFFAOYSA-
CNP0105440.1,COc1c(O)cc2C=CN[C@@H]3C(=O)c4ccccc4-c1c23,QENJHNQGWYKNJB-HNNXBMFYSA-
LTS0053162,O=C1C(C(C2=C(O)/C(=C(O)\C=C\c3ccc(O)cc3)C(=O)C(O)(C3OC(CO)C(O)C(O)C3O)C2=O)C(O)C(O)C(O)C(O)CO)=C(O)/C(=C(O)\C=C/c2ccc(O)cc2)C(=O)C1(O)C1OC(CO)C(O)C(O)C1O,STJDRLLBELOEQZ-IFBMSHHFSA-
CNP0279032.2,C=C1[C@H]2CC[C@H]3[C@]45CO[C@H](CC4=O)C(C)(C)[C@H]5[C@H](OC(C)=O)C(=O)[C@@]3(C2)[C@@H]1O,SIEAJAFUFUWEHX-MPQUVHIKSA-
CNP0574833.0,COc1c2C[C]3COC(=O)[C]3[C](c3ccc4OCOc4c3)c2cc2c1OCO2,NBPUSYZVLXEILD-UHFFFAOYSA-
CNP0297228.1,C=C(C)C(=O)O[C@]1(C#CC(C)(C)OOC(C)(C)C)C[C@H]2C[C@@H]1[C@@H](C)C2(C)C,OBEDIMGIHQHZOK-YTSMVRMISA-
CNP0394179.0,C=C(C)COc1ccc2c(C)c(CCC(=O)N3CCc4cc(OC)c(OC)cc4C3)c(=O)oc2c1,TZNONSDIVXXNKL-UHFFFAOYSA-
CNP0072503.1,CO[C@@H]1C[C@@H](O[C@H]2C=C(C)C[C@]3(O)[C@@H](OC(C)=O)[C@@H](O)C4=C(C(=O)c5ccc([C@H]6C[C@@H](O[C@H]7C[C@](C)(O)[C@H](O[C@H]8CC[C@H](OC(N)=O)[C@@H](C)O8)[C@@H](C)O7)[C@H](O)[C@@H](C)O6)c(O)c5C4=O)[C@]23O)O[C@@H](C)[C@H]1O,VYIZXEAOEHBNBT-VNPTZZOISA-
CNP0271761.1,C/C=C(/C)C(=O)O[C@H]1CC[C@]2(O)C=C3OC(=O)C(C)=C3[C@@H](OC)[C@]2(C)[C@H]1C,NPOXQTDQWIYLML-YMUSBNEKSA-
CNP0419924.2,COc1cc(/C=C/C(=O)O[C@H]2O[C@@H](O[C@@H]3[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]3c3c(C)cc4oc(-c5ccc(O)cc5)cc(=O)c4c3O)[C@H](O)[C@@H](O)[C@@H]2O)ccc1O,VWBCLEBNZOYGHZ-VPCRTSQBSA-
CNP0172076.2,C[C@H](CO)CCC(=O)[C@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,ANPHLQXCHVRCDX-RWWNDWOOSA-
CNP0156098.0,COc1ccccc1C(=O)O,ILUJQPXNXACGAN-UHFFFAOYSA-
LTS0181423,O=C1CC(c2ccc(O)cc2O)Oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,RQVONURISXRADZ-UHFFFAOYSA-
CNP0369431.2,C=C1C(=O)O[C@@H]2[C@H]3C(C)=CCC3=C(C)[C@@H](OC(=O)[C@@]3(C)O[C@@H]3C)[C@H](OC(C)=O)[C@@H]12,OBDISXBUEKSDQC-LDOAGTBXSA-
CNP0559671.1,C=CC(C)(C)c1c(C[C@@H]2N=C(O)[C@H](C)N=C2O)c2ccc3OC(C)(C)C=Cc3c2[nH]1,OTUZKRMTUYTBQV-GUYCJALGSA-
CNP0262557.1,O=C(C[C@@H]1NC(=O)N(CCc2c[nH]c3ccccc23)C1=O)NCc1ccccc1,ZKHLODMTHMFDOD-IBGZPJMESA-
CNP0129333.0,COC1C(O)=C(C(C)=O)C(=O)C2(OC3CC(OC4CC(OC5CC(C)(O)C(O)C(C)O5)C(O)C(C)O4)C(O)C(C)O3)C(=O)c3c(cc4cc(O)c(C)c(O)c4c3O)CC12,CPBYUTXQMSKGLY-UHFFFAOYSA-
LTS0045323,CC(C)=CCC/C(C)=C/COC(=O)C=Cc1ccccc1,JCWXWRIQSPDSKY-DEYBFMANSA-
CNP0146468.2,CC1=CCC[C@]2(C)[C@@H](CC3=C(C)C(=O)O[C@]3(O)C1)[C@]1(C)CC[C@H]2O1,CBMQMSLEHCTTCY-CVYSASLGSA-
CNP0217288.2,C[C@]12CC[C@]3(C1)[C@H](CC2=O)C[C@@H](OC(=O)c1ccccc1)[C@H]1[C@](C)(C(=O)O)CCC[C@@]13C,DQBAMWXMUCSBLO-VSQBJKSGSA-
CNP0042808.2,CCOC(=O)[C@@H](C)Oc1ccc2C(=O)C(=Cc3ccc(C(C)C)cc3)Oc2c1,DMWWEKPFPYFCHR-OAHLLOKOSA-
CNP0529016.1,CO[C@H](C)[C@](O)(C(=O)OCc1c2[C@@H](O)CCn2cc1)C(C)C,KYSOVPPHGLNVRV-FFSVYQOJSA-
CNP0371675.2,Cc1ccc(S(=O)(=O)N[C@@H](CC(C)C)C(=O)Oc2cc(C)cc3c2c(C)c(C)c(=O)o3)cc1,DTBMEQQJDRPIRB-FQEVSTJZSA-
CNP0516093.0,COC(=O)c1cc(OC)c2cc(OC)c(OC)c(O)c2c1OC,UTWVKRMPKJSGEW-UHFFFAOYSA-
CNP0499563.1,C[S@H+]([O-])CC[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)O,GFAGNYPQDGSYKV-BQBZGAKWSA-
CNP0423231.2,CSCC[C@H](NC(=O)[C@@H](NC(=O)CCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@H]3CCC4=CC(=O)CC[C@]4(C)[C@@H]3[C@@H](O)C[C@@]21C)C(C)C)C(=O)O,NFFAFKACCGSCKL-DYHQQHJESA-
CNP0332723.1,CNCC[C@@H]1CC=C(CO)[C@H](c2cc([C@@H]3CC[C@H]4[C@H](C3)O[C@H](c3c(CO)c(O)c(O)c(OC)c3Cc3c[nH]cc3)C[C@@H]4O)ccc2O)C1,SWTLZLXEYCLFBI-RJNOPZENSA-
LTS0041388,CCC(C#CC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC21C)C(C)C,CERBNCOOEAIBFQ-UHFFFAOYSA-
CNP0307623.1,COc1cc2c(O[C@@H]3OC[C@](O)(CO[C@@H]4OC[C@@H](O)[C@H](O)[C@H]4O)[C@H]3O[C@@H]3OC[C@H](O)[C@H](O)[C@H]3O)c3c(C(=O)OC3)c(-c3ccc4OCOc4c3)c2cc1OC,WTNBRCRYRLAZFO-DSUIHCPPSA-
CNP0295091.1,C=C(/C=C/C=C(/CO)[C@@H]1CC[C@]2([C@@H]1O)[C@H]1C3=C(C=O)CCC[C@@]3(C=C[C@@H]1CCO)C[C@]2(O)CCNC)CC/C=C(\C)CNCC,CULPWGNPSNCXOR-BIPNRKSYSA-
CNP0313669.0,CCOc1ccc(CC(=O)O)cc1,ZVVWZNFSMIFGEP-UHFFFAOYSA-
CNP0122344.1,CC(=O)N[C@H](CSC[C@H]1OC(=O)[C@@]2(C1=O)C(=O)[C@@]1(C)[C@@H](C=C[C@H]3[C@H](O)[C@@H](C)[C@H](OC(C)=O)C[C@@H]31)C[C@H]2/C=C/C=C/C=C/C(=O)O)C(=O)O,PTLQDKFYOYMVQN-CECFYEBASA-
CNP0192118.1,COC(=O)[C@H]1C(=O)C[C@@](C)(O)[C@@H](C(=O)OC)[C@H]1c1cccc(OC)c1,JHKZXOLSVSSHII-OIPACUDHSA-
LTS0045552,CO[C@H]1C[C@H](O[C@@H]2[C@@H](C)O[C@@H](O[C@@H]3C[C@@H]4CC[C@@]56O[C@@H](C)[C@@H]7C[C@H](O)C(=O)[C@]7(C)[C@@H](C[C@@H]5[C@@]4(C)C[C@H]3O)O6)C[C@H]2OC)O[C@H](C)[C@H]1O[C@H]1C[C@@H](OC)[C@H](O[C@H]2C[C@@H](OC)[C@H](O)[C@@H](C)O2)[C@@H](C)O1,NBRKBBSWSXZRIT-IFUCDMPUSA-
CNP0212402.0,COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(OC(=O)c3c(C)cc(O)cc3O)cc2O)cc1O,OFJNYUNWWLLTKC-UHFFFAOYSA-
CNP0248635.0,Cc1ccc(C(c2ccc(C)o2)c2ccccc2C(=O)NCc2ccccc2)o1,DIPABBWZVJNLNF-UHFFFAOYSA-
CNP0315888.2,COc1ccc([C@H]2CC(=O)c3c(C)cc4oc(=O)c(C)c(C)c4c3O2)c(OC)c1OC,KBDSPVXWTFCPKZ-QGZVFWFLSA-
CNP0155696.1,CC(C)=CC[C@@H]1C(C)=CC[C@@H](c2ccccc2)[C@@H]1C(=O)c1c(O)cc(O)cc1O,AYPOOQWQTQIRFW-ZRCGQRJVSA-
CNP0252704.3,CN1CCc2cc3c(cc2[C@]12[C@@H](O)c1ccc4OCOc4c1[C@@H]2O)OCO3,JQOTXJRWMCMWBT-SLFFLAALSA-
CNP0174493.3,COC(=O)[C@@]1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@H](O)[C@H](O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,SFZVDNKTWPZIJG-LYHZZFETSA-
CNP0506571.2,CC(=O)OC[C@H]1O[C@@H](Br)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,CYAYKKUWALRRPA-MBJXGIAVSA-
CNP0184447.10,COc1ccc(-c2c(O[C@H]3O[C@H](CO[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@H](O)[C@H](O)[C@H]3O)c(=O)c3c(O)cc(O)cc3o2)cc1O,KEIZXGINFPDITQ-NFEFJBEYSA-
CNP0243697.9,CC(C)[C@@H]1CC[C@H](C)C[C@H]1O,NOOLISFMXDJSKH-LPEHRKFASA-
CNP0097270.1,COc1cc(/C=C(\C[C@H]2c3cc(CCO)ccc3CC[C@H]2CO)C(=O)O[C@@H]2[C@H](OC(=O)CC[C@@H]3[C@H]4C=C[C@]56[C@@H]7C=C[C@H](C[C@H]5[C@H]4C)[C@H]4[C@H](O)[C@H](C=C[C@@]436)[C@@H]3[C@@H](C)C[C@@H]4C=C[C@@]37C4)[C@@H](O)[C@H]3O[C@]2(O)C=C[C@H]3NC[C@H](C)O)ccc1O,CNHBEKAZZYSACV-ADRODLDVSA-
LTS0195936,Cc1cc2c(C)c(O)c(O)cc2c2c1[C@@]1(C)CC[C@@]3(C)CC[C@@](C)(C(=O)O)C[C@H]3[C@]1(C)C=C2,RBDGQMZJUTZCHP-VLEWNFEKSA-
CNP0507726.2,CCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCC(C)C,CYBJRLCNDLYIGV-NPGUAINNSA-
CNP0604687.0,Cc1ccc2[nH]cc(CCNC(=O)c3ccc4nc(Cc5ccccc5)oc4c3)c2c1,MJSXSCGCRLZCDW-UHFFFAOYSA-
CNP0306920.2,COC(=O)C1=C[C@@H]2[C@@H](O)C(C)(C)C[C@]23[C@H]1COC(=O)[C@]31CO1,QXOPBRYZTGAOAU-IVWQEZMVSA-
CNP0112003.1,C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3[C@H](O[C@H]4CC[C@]5(C)[C@H]6C(=O)C=C7[C@@H]8C[C@@](C)(C(=O)O)[C@H](O)C[C@]8(C)CC[C@@]7(C)[C@]6(C)CC[C@H]5C4(C)C)O[C@H](C(=O)O)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,KLASAGYILRZOSA-LKPFLFONSA-
CNP0331740.0,COc1cc(O)c(C(=O)C=Cc2ccc(O)cc2)c(O)c1CC=C(C)C,ALGFNVZQNNGHPA-UHFFFAOYSA-
CNP0414135.12,C=C1C(=O)O[C@@H]2[C@@H]1CC[C@@]1(C)[C@@H]2C(=C)CC[C@@H]1O,FKBUODICGDOIGB-WPLOAARJSA-
CNP0222065.1,O=C(/C=C/[C@H]1[C@H](/C=C/c2ccc3OCOc3c2)[C@H](/C=C/c2ccc3OCOc3c2)[C@@H]1C(=O)N1CCCCC1)N1CCCCC1,ZWDCRRZEPLDPMM-NRUOWJGMSA-
CNP0143393.4,CC(=O)O[C@H]1C/C(C)=C\C[C@]2(C)CC(=O)C(=C(C)C)[C@H]2CC[C@]2(C)O[C@@H]12,BBQSAOCTCFTPCK-DXMKMUKFSA-
CNP0364880.4,CC/C=C\C=C/C(=O)N/C=C\C[C@@H]1C[C@H](O)[C@H](C)C/C=C/Cc2cccc(O)c2C(=O)O1,VFCUJHFLFHQCRD-YDXKLQSRSA-
CNP0211852.0,CC(C)CCCC(C)C1C=CC2(C)C3CC=C4C(C)(C)C(O)CCC4(C)C3CCC12C,URBRLQJOPJWBFC-UHFFFAOYSA-
CNP0187666.1,OC[C@@]1(O)CO[C@@H](OC[C@H]2O[C@@H](OCCc3c[nH]c4ccccc34)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H]1O,NDDBEAIQQPPQDA-RHAOSNMYSA-
CNP0359086.0,CC1=CC(CCl)OC1=O,RWOREBHQQOTRGU-UHFFFAOYSA-
CNP0452467.0,COC(=O)c1c(C)oc(=NC(=O)NCc2ccccc2)s1,JXNBZVKOWLZTIE-UHFFFAOYSA-
CNP0539856.2,CC(=O)Oc1cc(OC(C)=O)c2C(=O)C[C@@H](c3c(OC(C)=O)cccc3OC(C)=O)Oc2c1,QAJSRSKXTOZULY-NRFANRHFSA-
CNP0188068.1,CC1(C)CC(=O)C[C@@]2(C)OC(=O)C=C12,DJSMGUVSIWKZJW-LLVKDONJSA-
LTS0104691,C=C(CC/C=C(\C)C(=O)OCC(C)(C)CC1=C(O)C(=O)c2ccccc2C1=O)C(C)=O,HOLYNHAIWBPTJB-MHWRWJLKSA-
CNP0219513.1,C=CC(=C)CC[C@]1(C)[C@H]2C[C@H](OC(=O)C(C)CC)C=C3[C@H](OC(=O)CCC)O[C@H](OC(C)=O)[C@@]32[C@H](O)[C@H](OC(C)=O)[C@@H]1C,ZWHARZIRGKBMPI-VHLLSUOMSA-
CNP0158118.1,COc1cc(OC)c(C(=O)CCc2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)cc2)c(OC)c1,YUBDGXNXXJEYCV-SAKKWRDPSA-
CNP0011649.1,CN[C@H](C(=O)N[C@H]1C[C@@](O)(C(=O)N[C@H](Cc2c[nH]c3ccccc23)C(N)=O)C[C@@H](O)[C@@H]1O)C(C)C,GYTNVUDBHRLVJU-UEUIBNKDSA-
CNP0384680.1,COc1ccc(CC(=O)N2CC[C@@H](CC(=O)O)[C@@H](CCN3CCC[C@H]3C(N)=O)C2)cc1,IRCKFTOCRBEXGO-BJLQDIEVSA-
CNP0126793.1,Cc1ccc([C@@H]2Oc3ccc(/C=C\C=O)cc3O[C@H]2CO)cc1C,SKOCITCMQXEGPF-FZZLMOMWSA-
CNP0122045.1,C[C@H](O)[C@H](C(=O)O)[C@@H]1CCc2ccccc2CSSC[C@H](Cc2cccc(CO)c2)[C@H](C/C=C\[C@H](O)[C@H](O)C2CCCCC2)CC[C@@H]1CCN,KDFFTWWWHDDJTR-JUGVNZTLSA-
CNP0484682.1,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,DGDDTNQOOGXCSJ-PYDCBXFRSA-
CNP0012715.1,Cc1ccc(C(=O)N[C@H]2C[C@@H](c3nc(Cc4ccccc4)no3)N(C)C2)cc1,IDXODFITMBGDDA-OALUTQOASA-
CNP0202310.2,Cc1ccc(OC(=O)O[C@H]2CC[C@@]3(C)C(=CC[C@H]4[C@H]5CC[C@H]([C@H](C)CCCC(C)C)[C@@]5(C)CC[C@H]43)C2)cc1,VNPVPBNWCMOXJZ-TVUBASRCSA-
LTS0240524,CCC(C)C(=O)OC(C1=CC(C)(C)C(CC(=O)OC)C(C)C1=O)C1(O)C(=O)CCC2(C)C1=CC(=O)OC2c1cocc1,IZXHDVJPKHTNGR-UHFFFAOYSA-
CNP0300557.2,COc1ccc(CN(CC[C@@]2(c3ccc(C)cc3)CCOC(C)(C)C2)C(=O)c2ccco2)cc1,YNFWTQNBZFWAQA-GDLZYMKVSA-
CNP0251102.1,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=C2C1)CC[C@@H]1[C@@]2(C)C[C@H](O)[C@H](O)C(C)(C)[C@@H]2CC[C@]13C,OVPNXMAUIWWJFL-QHPUVITPSA-
CNP0519695.1,CN1C(=O)[C@H](Cc2ccccc2)N=C(O)/C1=C/c1ccccc1,UQQIPIPADMCILH-MUBYSKIDSA-
CNP0522021.2,CCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC(C)C,QFBDMUYWALNJQX-GWHBCOKCSA-
CNP0577996.1,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,YHMZACYPHKFNOI-MNASFJNBSA-
LTS0182335,COC1=C[C@@H](C)[C@@H]2C[C@H]3OC(O)C[C@H]4[C@](C)(O)[C@@H](O)C(=O)[C@H]([C@@]2(C)C1=O)[C@@]34C,NWJNNRWDONVYAY-JKPMZIBOSA-
CNP0428866.2,Cc1cc2c3C(=N[C@@H](Cc4ccccc4)Oc3c1Br)C(=O)C[C@]1(C)CC[C@H](C(C)C)[C@H]21,FSZLPJPPVMLDEY-PAUHDODLSA-
CNP0091935.1,C=C(C)[C@@H]1CC[C@@]2(C)CC([C@]34CC[C@@H]5C[C@H]6C[C@H]7C[C@@H](NC[C@H](C)O)[C@H](O)[C@@H]8CC[C@@H](C3)[C@]6([C@H]78)[C@]5(C)N4)=CC(C)=C2C1,BTHSNNYCKVYVKC-GGDNVSSJSA-
CNP0329951.1,COc1ccc2ccc(=O)oc2c1[C@@H](O)C(=O)C(C)C,QPXQLCIYAJVXPH-CQSZACIVSA-
CNP0054141.0,CCOC(=O)c1c(-c2ccccc2)oc2ccc(OCC(=O)NNC(=O)c3ccc(C)cc3)cc12,CGNORJHEVBSRQT-UHFFFAOYSA-
