ids,smiles,inchikey_wo_last
CNP0468420.0,COc1cc2c(cc1O)occ(-c1cc(Cl)c(O)c(Cl)c1)c2=O,TWJOLQXAFYTUEB-UHFFFAOYSA-
CNP0560236.1,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCC,RCOAANZWJJDHKO-MBSAHCCISA-
CNP0191226.2,COc1cc(O[C@H]2O[C@H](CO)[C@H](O)[C@@H](O)[C@H]2O)c2c(=O)cc(-c3ccccc3)oc2c1OC,WGCQDTNINMCFAY-YZBMOXFKSA-
CNP0276989.1,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](O[C@H]3C(=O)c4c(O)cc(O)cc4O[C@H]3c3ccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,DNXFUBRBNADNNT-HFHMVMLBSA-
CNP0111229.0,CCCC#CC#CC=CC(=O)OCC=Cc1cc(OC)c(OC)c(OC)c1,HVLQFFFGJMWZML-UHFFFAOYSA-
LTS0070413,C=C1COC(=O)C12CC1(C)C(C)CCC(OC(=O)C=C[S+](C)[O-])C1C2OC(=O)CC(C)C,UHYZSQIOUDNKRC-UHFFFAOYSA-
CNP0601215.2,CCCCCCCCC/C=C\CCC[C@@H](O)[C@@H](O)[C@H](CO)NC(=O)[C@H](O)CCCCCCCCCCCCCCCCCCCCCC,BIVGPKIBTGZJJH-BXLXYOTPSA-
CNP0065339.1,CNCC[C@]1(C(=O)O[C@@H]2Cc3c(cc4oc(C)cc(=O)c4c3O)OC2(C)C)O[C@@H]1CCCN=C(N)N,BIXKKYDXBQWIBU-RRQZXNHTSA-
CNP0371975.1,CC[C@@H](C)[C@H](Nc1ccc2c(cc1=O)[C@@H](NC(C)=O)CCc1cc(OC)c(OC)c(OC)c1-2)C(=O)Nc1cccc2c1cc[nH]2,IJSXYKNXKLVXQG-CKTVZQCPSA-
CNP0072061.1,CC(C)[C@@H]1CC[C@H](C)[C@@]12CC=C(CO)[C@H](O)C2,MTFXKUDGSGWVIS-MHEUCROKSA-
CNP0364890.1,C/C=C(/C)C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](OC(=O)CCCCCCCCCCCCCCC)[C@]12O)[C@H]1[C@@H](C[C@H]3C)[C@@]1(C)CO,JYQWDHMBWDKSCX-UJNPULLHSA-
CNP0297151.1,CC1=CC[C@H]2[C@H]3[C@@H]1O[C@]2(C)CC[C@H]3C(C)C,ZCGARNDXHSUWKI-BTFPBAQTSA-
CNP0386535.3,COc1ccc(CCN2C(=O)[C@@H]3[C@H](CC(N)=O)N[C@]4(C(=O)Nc5c4ccc(C)c5C)[C@@H]3C2=O)cc1OC,DXZWQYDLHZJHCH-WTLLVQHOSA-
CNP0039725.0,Cc1ccc2oc(=O)c(-c3cccc(Cl)c3)c(C)c2c1,VTOPTFMOJNQPFN-UHFFFAOYSA-
CNP0159515.1,C[C@H]1SS[C@@H](Cc2ccccc2)S1,XYPYOUQJSLOVGX-SCZZXKLOSA-
LTS0011067,C=C(C(=O)O)C(CCCCCC(=O)OC)C(=O)O,ZMTXIFCPSXJBPW-UHFFFAOYSA-
CNP0422163.1,C=C1C[C@H]2C=C[C@@H](C[C@@H]3[C@@H]1CC3(C)C)[C@@]1(C)O[C@@H]21,VGYMECICNDNREG-XHOLNKINSA-
CNP0424653.2,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccccc2)oc2c(S(=O)(=O)O)c(O)cc(O)c12,IFHBLQSSJDMWJS-OFEDHLHNSA-
CNP0270646.1,CCCCCCCCCCCCCCCCCCCCCC[C@H](O)CCCCCC,ONVNPIAULJQCBS-GDLZYMKVSA-
LTS0183706,CC(C)=CCCC(C)C1CCC(C)=CCC=C2COC(O)C21,GKHAFWZZEBWQKT-UHFFFAOYSA-
CNP0565301.2,COC(=O)[C@@]1(O)C(=O)C=C(C)[C@@]12OC(=O)c1c(O)cc(OC)cc12,AFIHDKNRTPKLON-HOTGVXAUSA-
CNP0064688.0,COc1ccc(CNN)c(OC)c1,QUDDWKCRVBNHSA-UHFFFAOYSA-
CNP0322222.2,C=CC1=C(C)C(=O)C=C2[C@]1(O)CC[C@H](C(=C)C)[C@@]2(C)CCC(=O)OC,ZFLNGJFWUHGMKC-HBGVWJBISA-
CNP0478519.1,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(C[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3OS(=O)(=O)O)cc(O)c12,ZVMVYIFZGGVYEX-XWZZJKMASA-
LTS0030516,CC1OC(OC2C(CO)OC(OC3C(CO)OC(OC4C(CO)OC(O)C(O)C4O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O,SLGABGHEBCWPDM-UHFFFAOYSA-
CNP0056147.2,CNCc1cn(C[C@H]2C[C@H]3CC[N@]2C[C@@H]3C(=O)NCc2ccccc2OC)nn1,GLIYGFOPAPYNKK-LZQZEXGQSA-
CNP0348724.4,CC[C@@H](C)C(=O)O[C@H]1C[C@H](O)[C@]23[C@H]4OC[C@]5([C@H](O)C[C@H]2C1(C)[C@H](O)O4)[C@@H]3C(=O)C[C@@]1(C)[C@@H](c2cocc2)C[C@@H]2O[C@]251,QATFYHWTNMSERU-WWRCICISSA-
CNP0236974.1,Cc1c(CN2C(=O)CO[C@H](c3ccc(NC(=O)NC(C)C)cc3)[C@H]2CO)scn1,IFCOKWUHYQXNJH-VQIMIIECSA-
CNP0280922.2,CC(C)[C@H]1CCC2=C3C=C[C@@H]4[C@@]5(C)CCCC(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]21C,UIYGWCYYBGLGBF-ZNABNZNXSA-
CNP0603398.0,COc1ccc(-c2c(CC(=O)NCCn3c(C)nc4cc(OC)c(OC)cc4c3=O)c3cc4c(cc3o2)OCO4)cc1,RVNZGUYVNAXZAD-UHFFFAOYSA-
